"csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"ouvri","d48","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","d48","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d24","non","ai45","fem","oui","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","moy"
"retra","d812","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","for"
"inact","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","for","nul","nul","nul","fai","for"
"ouvri","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"agric","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"emplo","dp12","non","ai75","fem","non","oui","non","n2","nul","nul","non","for","non","fai","fai","moy","moy","fai","for","nul"
"ouvri","d812","non","ai45","hom","oui","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"emplo","d24","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","moy","for","nul"
"inter","d24","non","ai45","fem","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","moy"
"cadsu","dp12","non","ai75","hom","non","oui","oui","n2","nul","nul","non","nul","non","fai","for","nul","nul","fai","nul","for"
"agric","d812","non","ai45","hom","non","non","oui","p4","for","fai","oui","nul","oui","fai","for","nul","nul","for","fai","fai"
"ouvri","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"inact","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","fai","nul","moy","nul","nul","moy"
"artis","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"inact","dm2","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"ouvri","dm2","non","ai25","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"emplo","d24","non","ai35","fem","oui","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"cadsu","dp12","non","ai45","fem","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"inact","d24","non","ai25","fem","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","moy"
